       x;        y;       s;         m
 946.000;   1165.5;     1.4;   6.715
 540.500;   1166.0;     1.4;   5.611
 833.500;   1166.5;     1.4;   6.064
 310.500;   1167.5;     1.4;   5.863
 228.000;   1174.5;     1.4;   6.036
 383.500;    179.5;     2.0;   5.493
 376.500;    183.5;     2.0;   5.262
 378.000;    186.0;     2.0;   5.031
 880.000;    390.5;     2.0;   6.442
 884.500;    390.5;     2.0;   6.262
 836.000;    391.0;     2.0;   6.012
 847.500;    391.0;     2.0;   7.175
 893.000;    391.0;     2.0;   6.972
 923.000;    392.0;     2.0;   7.405
 802.500;    392.5;     2.0;   6.715
 810.500;    392.5;     2.0;   8.393
 818.500;    392.5;     2.0;   8.622
 927.500;    392.5;     2.0;   7.106
 838.000;    393.5;     2.0;   7.245
 844.500;    393.5;     2.0;   7.702
 948.500;    394.0;     2.0;   7.911
 909.000;    394.5;     2.0;   7.318
 924.500;    394.5;     2.0;   8.108
 772.000;    395.5;     2.0;   7.403
 983.000;    396.5;     2.0;   7.851
 517.500;    397.5;     2.0;   6.686
 527.500;    397.5;     2.0;   6.319
 535.000;    397.5;     2.0;   6.152
 997.000;    398.5;     2.0;   6.934
1001.500;    399.0;     2.0;   7.844
 745.500;    399.5;     2.0;   7.524
 984.500;    399.5;     2.0;   8.260
1005.500;    399.5;     2.0;   7.853
 536.000;    400.0;     2.0;   7.651
 741.500;    400.0;     2.0;   6.363
1012.000;    400.0;     2.0;   8.393
 993.000;    400.5;     2.0;   8.219
 996.500;    401.0;     2.0;   7.237
1002.000;    401.5;     2.0;   7.938
1014.000;    403.0;     2.0;   7.814
1018.500;    403.5;     2.0;   9.137
 725.000;    404.0;     2.0;   7.704
1033.500;    404.0;     2.0;   7.309
1024.500;    404.5;     2.0;   8.928
1038.000;    405.0;     2.0;   7.057
1028.500;    405.5;     2.0;   8.161
1033.500;    406.5;     2.0;   8.186
 700.000;    411.5;     2.0;   6.965
1054.000;    413.0;     2.0;   9.102
 734.500;    414.5;     2.0;   5.105
1064.500;    414.5;     2.0;   7.737
1068.000;    416.5;     2.0;   8.770
1065.000;    417.5;     2.0;   8.016
1068.500;    419.5;     2.0;   8.297
1074.500;    423.0;     2.0;   8.720
 664.500;    425.0;     2.0;   6.274
 850.000;    425.0;     2.0;   5.063
 470.000;    426.0;     2.0;   7.005
 541.500;    426.0;     2.0;   6.264
 538.500;    426.5;     2.0;   6.535
 548.000;    426.5;     2.0;   7.602
 554.500;    426.5;     2.0;   7.308
 737.500;    426.5;     2.0;   5.287
 560.000;    427.0;     2.0;   7.404
 564.500;    427.0;     2.0;   6.374
 740.500;    427.0;     2.0;   5.219
 575.000;    428.0;     2.0;   7.087
 664.500;    428.0;     2.0;   7.429
 701.500;    428.5;     2.0;   6.060
 537.500;    430.5;     2.0;  11.121
 713.000;    431.0;     2.0;   5.331
 471.500;    432.5;     2.0;   6.453
 544.000;    432.5;     2.0;   8.185
 550.500;    433.0;     2.0;   8.020
 654.000;    433.0;     2.0;   6.678
 712.500;    433.0;     2.0;   5.452
 557.000;    433.5;     2.0;   8.951
 653.000;    433.5;     2.0;   6.392
 562.000;    434.0;     2.0;   8.038
1101.000;    436.0;     2.0;   8.941
1097.500;    436.5;     2.0;   9.612
 639.500;    437.5;     2.0;   6.128
 493.000;    439.0;     2.0;   6.184
 468.500;    439.5;     2.0;   5.171
 548.000;    440.0;     2.0;   8.990
 564.500;    440.0;     2.0;   6.987
 554.500;    440.5;     2.0;   8.505
 559.500;    440.5;     2.0;   8.106
 628.500;    443.5;     2.0;   7.223
1106.000;    443.5;     2.0;  10.237
1109.500;    444.0;     2.0;   8.323
 468.000;    446.0;     2.0;   5.327
 559.500;    446.5;     2.0;   8.222
 549.500;    447.0;     2.0;   8.593
 555.000;    447.0;     2.0;   9.024
1109.500;    447.0;     2.0;   9.675
1113.500;    447.5;     2.0;   7.034
 620.000;    448.0;     2.0;   7.333
 552.500;    449.5;     2.0;   5.045
 620.000;    451.0;     2.0;   8.575
 613.500;    451.5;     2.0;   5.173
 551.000;    453.0;     2.0;  10.083
 556.500;    453.0;     2.0;   9.111
1098.000;    455.5;     2.0;   5.471
1122.000;    456.0;     2.0;   7.426
1119.000;    456.5;     2.0;   9.968
 603.500;    458.0;     2.0;   7.135
 553.000;    459.0;     2.0;   9.254
 600.500;    460.0;     2.0;   8.263
 464.500;    460.5;     2.0;   9.282
 604.500;    460.5;     2.0;   9.561
1118.000;    460.5;     2.0;   5.093
1126.000;    461.0;     2.0;   8.117
 601.000;    463.0;     2.0;  10.597
1126.000;    465.0;     2.0;  10.336
 551.000;    465.5;     2.0;  10.571
 466.500;    466.0;     2.0;   6.827
 572.500;    467.0;     2.0;   5.855
 570.000;    467.5;     2.0;   6.292
 590.500;    467.5;     2.0;   7.880
1129.500;    468.5;     2.0;   8.111
1132.000;    471.0;     2.0;   8.680
 132.000;    471.5;     2.0;   6.266
 248.000;    472.0;     2.0;   8.117
 569.500;    472.0;     2.0;   7.387
1137.500;    472.5;     2.0;   7.595
 184.000;    474.0;     2.0;   5.275
 588.500;    474.0;     2.0;   8.536
 143.500;    474.5;     2.0;   5.803
 150.000;    474.5;     2.0;   5.826
 166.500;    474.5;     2.0;   7.085
 590.500;    476.5;     2.0;  13.355
 842.500;    478.5;     2.0;   5.158
 589.000;    479.5;     2.0;   5.236
 592.000;    479.5;     2.0;   8.530
 754.500;    481.5;     2.0;   5.381
 595.500;    482.0;     2.0;   5.773
 592.000;    482.5;     2.0;   5.913
1148.500;    483.0;     2.0;   7.235
1146.000;    483.5;     2.0;  10.610
1146.500;    484.5;     2.0;  10.794
 798.500;    485.5;     2.0;   6.014
 577.000;    486.5;     2.0;   5.840
 874.500;    487.0;     2.0;   5.714
